,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
1560,spider_low_2.mov,3.0,1.0,1.0,565.3919999999999,568.3919999999999,0.418,1.652,0.38299999999999995,1.518,577.305,597.861,0.18,0.243,0.556,0.8490000000000001,2.103,1.051,1.7519999999999998,1.652,158.0,0.922,0.102,0.862,0.034,11.0,
1561,spider_high_5.m4v,3.0,2.0,1.0,613.9119999999999,616.9119999999999,0.371,2.2359999999999998,0.37,1.869,624.757,645.266,0.545,0.726,0.2,0.39399999999999996,2.202,1.218,2.653,4.038,158.0,0.938,0.0,0.862,0.034,12.0,
1562,heights_low_4.m4v,1.0,1.0,2.0,739.784,742.785,0.35,2.336,0.345,1.652,755.518,776.546,0.105,0.102,0.8190000000000001,0.9520000000000001,3.07,1.619,1.5190000000000001,1.1179999999999999,158.0,0.915,0.05,0.862,0.034,13.0,
1563,heights_low_6.m4v,1.0,1.0,1.0,793.36,796.3610000000001,0.308,1.669,0.317,1.252,808.0269999999999,826.0319999999999,0.09300000000000001,0.083,0.927,0.9590000000000001,2.169,1.135,2.136,1.135,158.0,0.958,0.0,0.862,0.034,14.0,
1564,heights_high_2.mov,1.0,2.0,1.0,842.097,845.0980000000001,0.34299999999999997,3.137,0.294,1.952,858.933,879.806,0.573,0.627,0.366,0.41600000000000004,1.8359999999999999,1.185,1.7690000000000001,3.02,158.0,0.961,0.0,0.862,0.034,15.0,
1565,social_low_1.m4v,2.0,1.0,2.0,897.125,900.125,0.39899999999999997,1.051,0.332,1.235,907.153,927.9789999999999,0.27699999999999997,0.396,0.6509999999999999,0.753,1.535,3.3710000000000004,1.686,1.385,158.0,0.914,0.05,0.862,0.034,16.0,
1566,spider_low_6.m4v,3.0,1.0,2.0,945.445,948.445,0.423,1.819,0.359,1.5190000000000001,956.5239999999999,977.05,0.435,0.597,0.41100000000000003,0.546,3.1039999999999996,3.888,1.719,2.053,158.0,0.927,0.0,0.862,0.034,17.0,
1567,spider_high_4.m4v,3.0,2.0,1.0,997.302,1000.303,0.423,2.153,0.34,1.252,1009.466,1029.941,0.594,0.7240000000000001,0.34600000000000003,0.39399999999999996,1.869,1.268,1.1179999999999999,1.885,158.0,0.932,0.0,0.862,0.034,18.0,
1568,spider_high_3.mov,3.0,2.0,1.0,1045.572,1048.573,0.408,1.719,0.336,2.57,1056.601,1076.724,0.654,0.67,0.358,0.335,1.819,1.8359999999999999,1.252,1.135,158.0,0.9570000000000001,0.052000000000000005,0.862,0.034,19.0,
1569,heights_high_3.m4v,1.0,2.0,2.0,1092.257,1095.258,0.374,1.8019999999999998,0.321,1.368,1107.174,1127.798,0.6509999999999999,0.6759999999999999,0.34700000000000003,0.37,2.47,1.285,0.9009999999999999,1.135,158.0,0.9359999999999999,0.0,0.862,0.034,20.0,
1570,spider_low_4.m4v,3.0,1.0,2.0,1143.08,1146.08,0.42700000000000005,1.5519999999999998,0.375,1.235,1152.5910000000001,1173.083,0.303,0.317,0.298,0.573,1.902,1.101,1.485,1.3019999999999998,158.0,0.9359999999999999,0.0,0.862,0.034,21.0,
